commodity,state,season,avg_price
Ghee (vanaspati),Meghalaya,Monsoon,102.9908695652174
Ghee (vanaspati),Meghalaya,Summer,111.86347826086957
Ghee (vanaspati),Meghalaya,Winter,103.96399999999998
Ghee (vanaspati),Mizoram,Autumn,169.682
Ghee (vanaspati),Mizoram,Monsoon,177.56
Ghee (vanaspati),Mizoram,Summer,170.8975
Ghee (vanaspati),Mizoram,Winter,158.87285714285716
Ghee (vanaspati),Nagaland,Autumn,139.06684210526316
Ghee (vanaspati),Nagaland,Monsoon,118.96
Ghee (vanaspati),Nagaland,Summer,132.8341379310345
Ghee (vanaspati),Nagaland,Winter,138.33333333333334
Ghee (vanaspati),Orissa,Autumn,101.89677777777781
Ghee (vanaspati),Orissa,Monsoon,93.23764705882357
Ghee (vanaspati),Orissa,Summer,102.9806363636363
Ghee (vanaspati),Orissa,Winter,98.99452631578949
Ghee (vanaspati),Puducherry,Autumn,120.90650000000001
Ghee (vanaspati),Puducherry,Monsoon,120.99809523809525
Ghee (vanaspati),Puducherry,Summer,121.96235294117645
Ghee (vanaspati),Puducherry,Winter,121.54857142857144
Ghee (vanaspati),Punjab,Autumn,106.28489795918368
Ghee (vanaspati),Punjab,Monsoon,103.52379310344828
Ghee (vanaspati),Punjab,Summer,107.51090909090908
Ghee (vanaspati),Punjab,Winter,109.24000000000001
Ghee (vanaspati),Rajasthan,Autumn,103.4216666666667
Ghee (vanaspati),Rajasthan,Monsoon,93.06866666666669
Ghee (vanaspati),Rajasthan,Summer,103.73023529411765
Ghee (vanaspati),Rajasthan,Winter,97.73301369863015
Ghee (vanaspati),Sikkim,Autumn,130.83857142857144
Ghee (vanaspati),Sikkim,Monsoon,157.5457142857143
Ghee (vanaspati),Sikkim,Summer,148.28428571428572
Ghee (vanaspati),Sikkim,Winter,127.91571428571429
Ghee (vanaspati),Tamil Nadu,Autumn,113.84579545454544
Ghee (vanaspati),Tamil Nadu,Monsoon,118.57476190476193
Ghee (vanaspati),Tamil Nadu,Summer,124.07574468085109
Ghee (vanaspati),Tamil Nadu,Winter,118.82337500000001
Ghee (vanaspati),Telangana,Autumn,109.58431818181816
Ghee (vanaspati),Telangana,Monsoon,105.253
Ghee (vanaspati),Telangana,Summer,114.27203703703701
Ghee (vanaspati),Telangana,Winter,109.00391304347826
Ghee (vanaspati),Tripura,Autumn,77.27199999999999
Ghee (vanaspati),Tripura,Monsoon,111.05285714285715
Ghee (vanaspati),Tripura,Summer,92.97478260869566
Ghee (vanaspati),Tripura,Winter,92.98631578947368
Ghee (vanaspati),Uttar Pradesh,Autumn,116.84047999999994
Ghee (vanaspati),Uttar Pradesh,Monsoon,116.15596026490066
Ghee (vanaspati),Uttar Pradesh,Summer,118.90531645569621
Ghee (vanaspati),Uttar Pradesh,Winter,116.10651515151515
Ghee (vanaspati),Uttarakhand,Autumn,122.91312500000001
Ghee (vanaspati),Uttarakhand,Monsoon,119.5182857142857
Ghee (vanaspati),Uttarakhand,Summer,123.58399999999999
Ghee (vanaspati),Uttarakhand,Winter,120.15083333333334
Ghee (vanaspati),West Bengal,Autumn,104.25369230769229
Ghee (vanaspati),West Bengal,Monsoon,105.70828125000001
Ghee (vanaspati),West Bengal,Summer,104.18926470588232
Ghee (vanaspati),West Bengal,Winter,108.04809523809526
Lentils,Andaman And Nicobar,Autumn,101.88483870967741
Lentils,Andaman And Nicobar,Monsoon,96.11400000000002
Lentils,Andaman And Nicobar,Summer,94.45068965517243
Lentils,Andaman And Nicobar,Winter,96.0383870967742
Lentils,Andhra Pradesh,Autumn,93.55454545454546
Lentils,Andhra Pradesh,Monsoon,93.66371428571429
Lentils,Andhra Pradesh,Summer,97.79095238095239
Lentils,Andhra Pradesh,Winter,97.62342857142856
Lentils,Assam,Autumn,91.21208333333335
Lentils,Assam,Monsoon,80.77833333333332
Lentils,Assam,Summer,74.91545454545455
Lentils,Assam,Winter,80.20608695652174
Lentils,Bihar,Autumn,93.58314049586777
Lentils,Bihar,Monsoon,92.87289062499997
Lentils,Bihar,Summer,94.81743421052629
Lentils,Bihar,Winter,90.79629032258067
Lentils,Chandigarh,Autumn,81.61275862068966
Lentils,Chandigarh,Monsoon,77.80806451612902
Lentils,Chandigarh,Summer,75.44483870967741
Lentils,Chandigarh,Winter,81.65357142857144
Lentils,Chhattisgarh,Autumn,99.38305555555556
Lentils,Chhattisgarh,Monsoon,97.93333333333337
Lentils,Chhattisgarh,Summer,100.77857142857144
Lentils,Chhattisgarh,Winter,98.28433333333332
Lentils,Delhi,Autumn,93.68999999999998
Lentils,Delhi,Monsoon,88.24
Lentils,Delhi,Summer,88.98846153846154
Lentils,Delhi,Winter,83.58105263157894
Lentils,Goa,Autumn,90.12454545454547
Lentils,Goa,Monsoon,88.43692307692308
Lentils,Goa,Summer,91.83391304347825
Lentils,Goa,Winter,91.55363636363636
Lentils,Gujarat,Autumn,92.03842105263156
Lentils,Gujarat,Monsoon,93.65655737704917
Lentils,Gujarat,Summer,91.83055555555558
Lentils,Gujarat,Winter,89.33285714285715
Lentils,Haryana,Autumn,84.99391304347827
Lentils,Haryana,Monsoon,79.75888888888889
Lentils,Haryana,Summer,79.00935064935064
Lentils,Haryana,Winter,79.1895238095238
Lentils,Himachal Pradesh,Autumn,94.57728571428574
Lentils,Himachal Pradesh,Monsoon,91.88295774647887
Lentils,Himachal Pradesh,Summer,95.26944444444445
Lentils,Himachal Pradesh,Winter,91.15907692307691
Lentils,Jharkhand,Autumn,94.33838709677421
Lentils,Jharkhand,Monsoon,94.82015151515152
Lentils,Jharkhand,Summer,97.09324324324322
Lentils,Jharkhand,Winter,94.18014285714285
Lentils,Karnataka,Autumn,104.59325842696629
Lentils,Karnataka,Monsoon,102.4209677419355
Lentils,Karnataka,Summer,100.4384210526316
Lentils,Karnataka,Winter,103.65799999999997
Lentils,Kerala,Autumn,108.43592592592594
Lentils,Kerala,Monsoon,103.92130434782608
Lentils,Kerala,Summer,101.91166666666665
Lentils,Kerala,Winter,104.22243902439024
Lentils,Madhya Pradesh,Autumn,91.01735042735044
Lentils,Madhya Pradesh,Monsoon,87.97156249999999
Lentils,Madhya Pradesh,Summer,92.07793893129772
Lentils,Madhya Pradesh,Winter,91.85991869918695
Lentils,Maharashtra,Autumn,93.76732558139537
Lentils,Maharashtra,Monsoon,93.61678571428573
Lentils,Maharashtra,Summer,91.12654761904763
Lentils,Maharashtra,Winter,90.47162499999999
Lentils,Manipur,Autumn,119.798
Lentils,Manipur,Monsoon,106.625
Lentils,Manipur,Summer,122.35249999999999
Lentils,Manipur,Winter,122.268
Lentils,Meghalaya,Autumn,98.74675675675674
Lentils,Meghalaya,Monsoon,91.84571428571428
Lentils,Meghalaya,Summer,92.98617647058825
Lentils,Meghalaya,Winter,101.79387096774194
Lentils,Mizoram,Autumn,117.83333333333333
Lentils,Mizoram,Monsoon,124.9375
Lentils,Mizoram,Summer,125.80428571428571
Lentils,Nagaland,Autumn,85.88379310344828
Lentils,Nagaland,Monsoon,87.78444444444443
Lentils,Nagaland,Summer,83.09423076923078
Lentils,Nagaland,Winter,77.58764705882353
Lentils,Orissa,Autumn,90.45511111111115
Lentils,Orissa,Monsoon,88.52040983606557
Lentils,Orissa,Summer,86.12176470588237
Lentils,Orissa,Winter,85.10641791044779
Lentils,Puducherry,Autumn,91.00045454545456
Lentils,Puducherry,Monsoon,93.69
Lentils,Puducherry,Summer,83.45842105263158
Lentils,Puducherry,Winter,91.27499999999999
Lentils,Punjab,Autumn,87.67355932203388
Lentils,Punjab,Monsoon,80.4527450980392
Lentils,Punjab,Summer,86.53166666666668
Lentils,Punjab,Winter,89.01689655172413
Lentils,Rajasthan,Autumn,84.95559523809523
Lentils,Rajasthan,Monsoon,83.29989361702128
Lentils,Rajasthan,Summer,84.09867346938778
Lentils,Rajasthan,Winter,85.38738095238094
Lentils,Sikkim,Autumn,112.92111111111112
Lentils,Sikkim,Monsoon,122.23
Lentils,Sikkim,Summer,118.28625
Lentils,Sikkim,Winter,113.44222222222223
Lentils,Tamil Nadu,Autumn,99.33019230769229
Lentils,Tamil Nadu,Monsoon,94.95782608695649
Lentils,Tamil Nadu,Summer,96.62104761904763
Lentils,Tamil Nadu,Winter,93.38596153846154
Lentils,Telangana,Autumn,97.70893617021277
Lentils,Telangana,Monsoon,99.27121951219512
Lentils,Telangana,Summer,100.04829787234044
Lentils,Telangana,Winter,97.34864864864868
Lentils,Tripura,Autumn,88.401
Lentils,Tripura,Monsoon,96.21333333333335
Lentils,Tripura,Summer,63.068000000000005
Lentils,Tripura,Winter,79.075
Lentils,Uttar Pradesh,Autumn,93.9022602739726
Lentils,Uttar Pradesh,Monsoon,93.10980645161293
Lentils,Uttar Pradesh,Summer,93.36972602739722
Lentils,Uttar Pradesh,Winter,91.06476562499999
Lentils,Uttarakhand,Autumn,92.90756097560974
Lentils,Uttarakhand,Monsoon,92.12692307692309
Lentils,Uttarakhand,Summer,93.77595744680849
Lentils,Uttarakhand,Winter,96.53146341463413
Lentils,West Bengal,Autumn,96.57392405063293
Lentils,West Bengal,Monsoon,92.55230769230766
Lentils,West Bengal,Summer,93.40975
Lentils,West Bengal,Winter,92.80375
Lentils (masur),Andaman And Nicobar,Autumn,85.63333333333334
Lentils (masur),Andaman And Nicobar,Monsoon,84.44974358974359
Lentils (masur),Andaman And Nicobar,Summer,86.00771428571429
Lentils (masur),Andaman And Nicobar,Winter,86.46888888888888
Lentils (masur),Andhra Pradesh,Autumn,86.60472222222224
Lentils (masur),Andhra Pradesh,Monsoon,92.10619047619048
Lentils (masur),Andhra Pradesh,Summer,86.0886111111111
Lentils (masur),Andhra Pradesh,Winter,90.4605
Lentils (masur),Assam,Autumn,74.81294117647059
Lentils (masur),Assam,Monsoon,73.30714285714285
Lentils (masur),Assam,Summer,70.93625000000002
Lentils (masur),Assam,Winter,71.58760000000001
Lentils (masur),Bihar,Autumn,79.93379310344827
Lentils (masur),Bihar,Monsoon,78.57183673469392
Lentils (masur),Bihar,Summer,77.31484848484854
Lentils (masur),Bihar,Winter,78.13058394160583
Lentils (masur),Chandigarh,Autumn,70.06928571428571
Lentils (masur),Chandigarh,Monsoon,69.6742857142857
Lentils (masur),Chandigarh,Summer,71.1375
Lentils (masur),Chandigarh,Winter,65.31500000000001
Lentils (masur),Chhattisgarh,Autumn,86.8721875
Lentils (masur),Chhattisgarh,Monsoon,87.61862068965517
Lentils (masur),Chhattisgarh,Summer,84.60580645161289
Lentils (masur),Chhattisgarh,Winter,84.94270270270269
Lentils (masur),Delhi,Autumn,80.70312500000001
Lentils (masur),Delhi,Monsoon,79.53147058823531
Lentils (masur),Delhi,Summer,78.68382352941178
Lentils (masur),Delhi,Winter,78.80935483870968
Lentils (masur),Goa,Autumn,85.57392857142858
Lentils (masur),Goa,Monsoon,85.77178571428571
Lentils (masur),Goa,Summer,86.3682142857143
Lentils (masur),Goa,Winter,84.13571428571431
Lentils (masur),Gujarat,Autumn,78.49325301204817
Lentils (masur),Gujarat,Monsoon,80.65597222222226
Lentils (masur),Gujarat,Summer,77.04297619047618
Lentils (masur),Gujarat,Winter,75.59722222222223
Lentils (masur),Haryana,Autumn,74.77833333333332
Lentils (masur),Haryana,Monsoon,74.34565217391305
Lentils (masur),Haryana,Summer,77.3112962962963
Lentils (masur),Haryana,Winter,72.26638297872341
Lentils (masur),Himachal Pradesh,Autumn,80.37452380952382
Lentils (masur),Himachal Pradesh,Monsoon,78.46717391304347
Lentils (masur),Himachal Pradesh,Summer,79.59978723404258
Lentils (masur),Himachal Pradesh,Winter,79.57670454545452
Lentils (masur),Jharkhand,Autumn,83.75918367346941
Lentils (masur),Jharkhand,Monsoon,79.22763636363635
Lentils (masur),Jharkhand,Summer,81.15768115942029
Lentils (masur),Jharkhand,Winter,81.1801694915254
Lentils (masur),Karnataka,Autumn,95.09120879120876
Lentils (masur),Karnataka,Monsoon,93.00517241379308
Lentils (masur),Karnataka,Summer,95.92735849056601
Lentils (masur),Karnataka,Winter,96.73500000000001
Lentils (masur),Kerala,Autumn,85.30935064935063
Lentils (masur),Kerala,Monsoon,84.06493506493506
Lentils (masur),Kerala,Summer,85.29033333333332
Lentils (masur),Kerala,Winter,86.26541666666664
Lentils (masur),Madhya Pradesh,Autumn,74.9596923076923
Lentils (masur),Madhya Pradesh,Monsoon,74.92422413793105
Lentils (masur),Madhya Pradesh,Summer,74.60116788321166
Lentils (masur),Madhya Pradesh,Winter,74.63846153846156
Lentils (masur),Maharashtra,Autumn,78.00257425742576
Lentils (masur),Maharashtra,Monsoon,77.07061224489796
Lentils (masur),Maharashtra,Summer,77.96171428571428
Lentils (masur),Maharashtra,Winter,76.12360824742268
Lentils (masur),Manipur,Autumn,93.68333333333334
Lentils (masur),Manipur,Monsoon,93.96666666666665
Lentils (masur),Manipur,Summer,92.09
Lentils (masur),Manipur,Winter,89.61500000000001
Lentils (masur),Meghalaya,Autumn,82.93191489361702
Lentils (masur),Meghalaya,Monsoon,80.7452380952381
Lentils (masur),Meghalaya,Summer,81.32787234042551
Lentils (masur),Meghalaya,Winter,81.8646511627907
Lentils (masur),Mizoram,Autumn,96.51705882352941
Lentils (masur),Mizoram,Monsoon,103.421875
Lentils (masur),Mizoram,Summer,103.46666666666667
Lentils (masur),Mizoram,Winter,84.27272727272727
Lentils (masur),Nagaland,Autumn,77.315
Lentils (masur),Nagaland,Monsoon,80.34486486486486
Lentils (masur),Nagaland,Summer,79.13027027027027
Lentils (masur),Nagaland,Winter,77.882
Lentils (masur),Orissa,Autumn,72.70977777777782
Lentils (masur),Orissa,Monsoon,73.63939849624063
Lentils (masur),Orissa,Summer,71.55814285714285
Lentils (masur),Orissa,Winter,71.11445378151257
Lentils (masur),Puducherry,Autumn,76.6825
Lentils (masur),Puducherry,Monsoon,74.10529411764708
Lentils (masur),Puducherry,Summer,75.6390625
Lentils (masur),Puducherry,Winter,76.14322580645161
Lentils (masur),Punjab,Autumn,82.69016393442622
Lentils (masur),Punjab,Monsoon,78.99234375
Lentils (masur),Punjab,Summer,82.54121212121211
Lentils (masur),Punjab,Winter,82.71842105263156
Lentils (masur),Rajasthan,Autumn,76.7023157894737
Lentils (masur),Rajasthan,Monsoon,75.83388888888891
Lentils (masur),Rajasthan,Summer,76.89301075268817
Lentils (masur),Rajasthan,Winter,73.25400000000002
Lentils (masur),Sikkim,Autumn,98.22500000000001
Lentils (masur),Sikkim,Monsoon,101.62
Lentils (masur),Sikkim,Summer,96.324
Lentils (masur),Sikkim,Winter,99.7175
Lentils (masur),Tamil Nadu,Autumn,84.97438202247193
Lentils (masur),Tamil Nadu,Monsoon,83.7441176470588
Lentils (masur),Tamil Nadu,Summer,84.06677777777779
Lentils (masur),Tamil Nadu,Winter,85.00458823529414
Lentils (masur),Telangana,Autumn,81.74321428571427
Lentils (masur),Telangana,Monsoon,80.29604166666668
Lentils (masur),Telangana,Summer,80.83029850746269
Lentils (masur),Telangana,Winter,80.54105263157896
Lentils (masur),Tripura,Autumn,85.47764705882352
Lentils (masur),Tripura,Monsoon,86.70323529411765
Lentils (masur),Tripura,Summer,86.96441176470589
Lentils (masur),Tripura,Winter,89.43419354838709
Lentils (masur),Uttar Pradesh,Autumn,81.40298507462686
Lentils (masur),Uttar Pradesh,Monsoon,78.62653333333337
Lentils (masur),Uttar Pradesh,Summer,77.90883870967745
Lentils (masur),Uttar Pradesh,Winter,80.00764705882352
Lentils (masur),Uttarakhand,Autumn,88.07046511627907
Lentils (masur),Uttarakhand,Monsoon,86.88775
Lentils (masur),Uttarakhand,Summer,90.47076923076926
Lentils (masur),Uttarakhand,Winter,88.98304347826088
Lentils (masur),West Bengal,Autumn,86.5813725490196
Lentils (masur),West Bengal,Monsoon,87.13898989898993
Lentils (masur),West Bengal,Summer,87.3194230769231
Lentils (masur),West Bengal,Winter,89.12155555555556
Lentils (moong),Andaman And Nicobar,Autumn,102.70181818181821
Lentils (moong),Andaman And Nicobar,Monsoon,103.88719999999999
Lentils (moong),Andaman And Nicobar,Summer,111.59125
Lentils (moong),Andaman And Nicobar,Winter,104.09727272727272
Lentils (moong),Andhra Pradesh,Autumn,103.66589743589742
Lentils (moong),Andhra Pradesh,Monsoon,103.33967741935481
Lentils (moong),Andhra Pradesh,Summer,103.5828125
Lentils (moong),Andhra Pradesh,Winter,104.37310344827587
Lentils (moong),Assam,Autumn,93.60916666666668
Lentils (moong),Assam,Monsoon,88.35529411764706
Lentils (moong),Assam,Summer,95.83312500000001
Lentils (moong),Assam,Winter,90.31363636363636
Lentils (moong),Bihar,Autumn,96.79810344827587
Lentils (moong),Bihar,Monsoon,95.87937984496122
Lentils (moong),Bihar,Summer,99.1426119402985
Lentils (moong),Bihar,Winter,96.04816513761472
Lentils (moong),Chandigarh,Autumn,91.34608695652175
Lentils (moong),Chandigarh,Monsoon,91.20560000000002
Lentils (moong),Chandigarh,Summer,93.88944444444445
Lentils (moong),Chandigarh,Winter,91.20473684210526
Lentils (moong),Chhattisgarh,Autumn,105.08058823529413
Lentils (moong),Chhattisgarh,Monsoon,99.20625000000003
Lentils (moong),Chhattisgarh,Summer,100.88666666666668
Lentils (moong),Chhattisgarh,Winter,102.61612903225806
Lentils (moong),Delhi,Autumn,97.18000000000002
Lentils (moong),Delhi,Monsoon,95.20842105263158
Lentils (moong),Delhi,Summer,100.30882352941177
Lentils (moong),Delhi,Winter,96.03375000000001
Lentils (moong),Goa,Autumn,107.88700000000001
Lentils (moong),Goa,Monsoon,110.11842105263158
Lentils (moong),Goa,Summer,114.52625
Lentils (moong),Goa,Winter,113.31937500000002
Lentils (moong),Gujarat,Autumn,90.69183098591547
Lentils (moong),Gujarat,Monsoon,89.57985915492958
Lentils (moong),Gujarat,Summer,92.935375
Lentils (moong),Gujarat,Winter,89.62319444444442
Lentils (moong),Haryana,Autumn,85.98700000000002
Lentils (moong),Haryana,Monsoon,85.97022727272726
Lentils (moong),Haryana,Summer,89.35025316455697
Lentils (moong),Haryana,Winter,86.0568918918919
Lentils (moong),Himachal Pradesh,Autumn,91.84241935483871
Lentils (moong),Himachal Pradesh,Monsoon,92.41597222222222
Lentils (moong),Himachal Pradesh,Summer,99.08666666666663
Lentils (moong),Himachal Pradesh,Winter,94.06131147540985
Lentils (moong),Jharkhand,Autumn,95.39787234042552
Lentils (moong),Jharkhand,Monsoon,94.06076923076921
Lentils (moong),Jharkhand,Summer,100.46800000000002
Lentils (moong),Jharkhand,Winter,97.58327868852459
Lentils (moong),Karnataka,Autumn,102.09535714285713
Lentils (moong),Karnataka,Monsoon,102.76782608695648
Lentils (moong),Karnataka,Summer,106.36877358490561
Lentils (moong),Karnataka,Winter,103.58845238095239
Lentils (moong),Kerala,Autumn,109.87942028985509
Lentils (moong),Kerala,Monsoon,106.138
Lentils (moong),Kerala,Summer,111.15775862068966
Lentils (moong),Kerala,Winter,108.39236363636364
Lentils (moong),Madhya Pradesh,Autumn,87.70439252336448
Lentils (moong),Madhya Pradesh,Monsoon,88.25723214285712
Lentils (moong),Madhya Pradesh,Summer,91.65360294117647
Lentils (moong),Madhya Pradesh,Winter,89.86935999999997
Lentils (moong),Maharashtra,Autumn,96.84302325581395
Lentils (moong),Maharashtra,Monsoon,95.46
Lentils (moong),Maharashtra,Summer,101.38217391304347
Lentils (moong),Maharashtra,Winter,98.2743055555556
Lentils (moong),Manipur,Autumn,117.50399999999999
Lentils (moong),Manipur,Monsoon,100.32666666666667
Lentils (moong),Manipur,Summer,115.45
Lentils (moong),Manipur,Winter,124.565
Lentils (moong),Meghalaya,Autumn,104.50999999999998
Lentils (moong),Meghalaya,Monsoon,105.9944
Lentils (moong),Meghalaya,Summer,109.44205128205128
Lentils (moong),Meghalaya,Winter,107.22874999999999
Lentils (moong),Mizoram,Autumn,131.28117647058824
Lentils (moong),Mizoram,Monsoon,131.48941176470586
Lentils (moong),Mizoram,Summer,128.55083333333334
Lentils (moong),Mizoram,Winter,131.0825
Lentils (moong),Nagaland,Autumn,96.16615384615383
Lentils (moong),Nagaland,Monsoon,113.32947368421054
Lentils (moong),Nagaland,Summer,108.80176470588235
Lentils (moong),Nagaland,Winter,102.03625
Lentils (moong),Orissa,Autumn,91.11564102564103
Lentils (moong),Orissa,Monsoon,87.13204724409448
Lentils (moong),Orissa,Summer,92.6342307692308
Lentils (moong),Orissa,Winter,92.24666666666668
Lentils (moong),Puducherry,Autumn,98.36571428571428
Lentils (moong),Puducherry,Monsoon,101.12882352941176
Lentils (moong),Puducherry,Summer,103.2375
Lentils (moong),Puducherry,Winter,104.94533333333332
Lentils (moong),Punjab,Autumn,94.76820000000002
Lentils (moong),Punjab,Monsoon,91.54037735849057
Lentils (moong),Punjab,Summer,101.28704918032788
Lentils (moong),Punjab,Winter,97.10948275862069
Lentils (moong),Rajasthan,Autumn,89.16632352941176
Lentils (moong),Rajasthan,Monsoon,86.41216216216215
Lentils (moong),Rajasthan,Summer,91.00062499999997
Lentils (moong),Rajasthan,Winter,92.61
Lentils (moong),Sikkim,Autumn,114.33333333333333
Lentils (moong),Sikkim,Monsoon,115.34500000000001
Lentils (moong),Sikkim,Summer,115.24333333333334
Lentils (moong),Sikkim,Winter,113.625
Lentils (moong),Tamil Nadu,Autumn,99.41125000000001
Lentils (moong),Tamil Nadu,Monsoon,96.82651685393257
Lentils (moong),Tamil Nadu,Summer,105.0064367816092
Lentils (moong),Tamil Nadu,Winter,102.29022988505741
Lentils (moong),Telangana,Autumn,101.12519230769233
Lentils (moong),Telangana,Monsoon,100.87943396226416
Lentils (moong),Telangana,Summer,102.58947368421055
Lentils (moong),Telangana,Winter,98.98150943396226
Lentils (moong),Tripura,Autumn,88.32818181818182
Lentils (moong),Tripura,Monsoon,94.64833333333335
Lentils (moong),Tripura,Summer,93.08357142857143
Lentils (moong),Tripura,Winter,96.329375
Lentils (moong),Uttar Pradesh,Autumn,92.16472727272728
Lentils (moong),Uttar Pradesh,Monsoon,90.53119999999998
Lentils (moong),Uttar Pradesh,Summer,97.077868852459
Lentils (moong),Uttar Pradesh,Winter,96.76553398058255
Lentils (moong),Uttarakhand,Autumn,106.81171428571427
Lentils (moong),Uttarakhand,Monsoon,101.62419354838711
Lentils (moong),Uttarakhand,Summer,107.10358974358974
Lentils (moong),Uttarakhand,Winter,108.8762962962963
Lentils (moong),West Bengal,Autumn,103.26779411764706
Lentils (moong),West Bengal,Monsoon,101.7888888888889
Lentils (moong),West Bengal,Summer,106.73569230769229
Lentils (moong),West Bengal,Winter,103.83786885245902
Lentils (urad),Andaman And Nicobar,Autumn,132.613
Lentils (urad),Andaman And Nicobar,Monsoon,120.99052631578951
Lentils (urad),Andaman And Nicobar,Summer,121.96904761904761
Lentils (urad),Andaman And Nicobar,Winter,124.16800000000002
Lentils (urad),Andhra Pradesh,Autumn,117.12692307692309
